skill_id,difficulty,task_title,task_latex,task_text,expected_answer,accepted_answers,hint
distribute_weight,easy,"Distribute PageRank weight","1\to2,3,4","What weight goes to each outgoing link?","1/3","1/3|0.333|0.33","Divide 1 by the outdegree."
transition_matrix,easy,"Matrix entry from graph","1\to2,3","Compute $A_{21}$ in the transition matrix.","1/2","1/2|0.5","Page 1 gives half to page 2."
column_stochastic,easy,"Column sum","A_{\cdot 1}=\begin{pmatrix}0\\1/2\\1/2\end{pmatrix}","Compute the sum of column 1.","1","1","Add the column entries."
power_iteration,easy,"Power iteration step","A=\begin{pmatrix}0&1\\1&0\end{pmatrix},\quad x=\begin{pmatrix}1\\0\end{pmatrix}","Compute $Ax$.","[0,1]","[0,1]|(0,1)|0,1","Multiply A by x."
pagerank_step,easy,"PageRank step","A=\begin{pmatrix}0&1\\1&0\end{pmatrix},\quad x^{(0)}=\begin{pmatrix}1/2\\1/2\end{pmatrix}","Compute $x_1=Ax_0$.","[1/2,1/2]","[1/2,1/2]|(1/2,1/2)|0.5,0.5","Multiply A by x0."

mse_loss,easy,"MSE for two errors","e_1=1,\quad e_2=-1","Compute MSE.","1","1","Average squared errors."
least_squares,easy,"Least squares slope","Points (0,0) and (2,2)","Best-fit slope through origin?","1","1","Slope is y/x."
normal_equation,easy,"Normal equation term","X=\begin{pmatrix}1\\2\end{pmatrix}","Compute X^T X.","5","5","Compute 1^2+2^2."
linear_regression,easy,"Linear prediction","y=2x+1","Predict y when x=3.","7","7","Substitute x=3."

gradient_descent,easy,"One GD step","x_0=2,\quad f'(x_0)=4,\quad \alpha=0.1","Compute $x_1=x_0-\alpha f'(x_0)$.","1.6","1.6|8/5","Subtract 0.1*4."
learning_rate_tuning,easy,"Learning rate check","\alpha=2","Is this likely too large? Answer yes/no.","yes","yes|true|Yes","Very large step sizes often diverge."

polynomial_form,easy,"Polynomial coefficients","p_2(x)=c_0+c_1x+c_2x^2","How many coefficients must be found?","3","3","Count c0, c1, c2."
vandermonde_matrix,easy,"Vandermonde row","p_2(x)=c_0+c_1x+c_2x^2,\quad x=2","Write the row for $x=2$.","[1,2,4]","[1,2,4]|(1,2,4)|1,2,4","Use 1, x, x^2."
lagrange_basis,easy,"Lagrange basis value","L_i(x_i)","Compute this value.","1","1","Each basis polynomial equals 1 at its own node."
lagrange_polynomial,easy,"Lagrange term","y_i=3,\quad L_i(x)=x^2","Compute y_iL_i(x).","3x^2","3x^2|3*x^2","Multiply 3 by x^2."

piecewise_function,easy,"Number of spline pieces","x_0,x_1,x_2","How many intervals are there?","2","2","Three nodes create two intervals."
first_derivative_continuity,easy,"First derivative match","S_1'(0)=2,\quad S_2'(0)=?","Find S2'(0) for continuity.","2","2","First derivatives must match."
second_derivative_continuity,easy,"Second derivative match","S_1''(0)=-3,\quad S_2''(0)=?","Find S2''(0) for continuity.","-3","-3","Second derivatives must match."
natural_boundary,easy,"Natural boundary values","S''(x_0)=?,\quad S''(x_n)=?","Compute the boundary values for a natural spline.","0,0","0,0|0 and 0","Natural spline has zero second derivatives at endpoints."
natural_spline,easy,"Spline pieces","3\text{ points}","How many cubic pieces does the natural spline have?","2","2","Pieces are between neighboring points."
