node_id,parent_id,depth,node_type,area,level_band,title,sort_order,description
area_foundations_for_algebra_cluster_integers_and_rational_numbers_skill_06_evaluate_rational_expressions_numerically,area_foundations_for_algebra_cluster_integers_and_rational_numbers,3,atomic_skill,Foundations for Algebra,foundation,Evaluate rational expressions numerically,6,
area_foundations_for_algebra_cluster_exponents_and_radicals,area_foundations_for_algebra,2,skill_cluster,Foundations for Algebra,foundation,Exponents and radicals,4,
area_foundations_for_algebra_cluster_exponents_and_radicals_skill_01_evaluate_powers,area_foundations_for_algebra_cluster_exponents_and_radicals,3,atomic_skill,Foundations for Algebra,foundation,Evaluate powers,1,
area_foundations_for_algebra_cluster_exponents_and_radicals_skill_02_use_exponent_rules_for_products,area_foundations_for_algebra_cluster_exponents_and_radicals,3,atomic_skill,Foundations for Algebra,foundation,Use exponent rules for products,2,
area_foundations_for_algebra_cluster_exponents_and_radicals_skill_03_use_exponent_rules_for_quotients,area_foundations_for_algebra_cluster_exponents_and_radicals,3,atomic_skill,Foundations for Algebra,foundation,Use exponent rules for quotients,3,
area_foundations_for_algebra_cluster_exponents_and_radicals_skill_04_use_powers_of_powers,area_foundations_for_algebra_cluster_exponents_and_radicals,3,atomic_skill,Foundations for Algebra,foundation,Use powers of powers,4,
area_foundations_for_algebra_cluster_exponents_and_radicals_skill_05_use_zero_and_negative_exponents,area_foundations_for_algebra_cluster_exponents_and_radicals,3,atomic_skill,Foundations for Algebra,foundation,Use zero and negative exponents,5,
area_foundations_for_algebra_cluster_exponents_and_radicals_skill_06_simplify_square_roots,area_foundations_for_algebra_cluster_exponents_and_radicals,3,atomic_skill,Foundations for Algebra,foundation,Simplify square roots,6,
area_foundations_for_algebra_cluster_exponents_and_radicals_skill_07_approximate_irrational_numbers,area_foundations_for_algebra_cluster_exponents_and_radicals,3,atomic_skill,Foundations for Algebra,foundation,Approximate irrational numbers,7,
area_algebra_i,math_from_algebra_to_university,1,area,Algebra I,school_algebra,Algebra I,2,
area_algebra_i_cluster_algebraic_expressions,area_algebra_i,2,skill_cluster,Algebra I,school_algebra,Algebraic expressions,1,
area_algebra_i_cluster_algebraic_expressions_skill_01_identify_variables_constants_terms_and_coefficients,area_algebra_i_cluster_algebraic_expressions,3,atomic_skill,Algebra I,school_algebra,"Identify variables, constants, terms, and coefficients",1,
area_algebra_i_cluster_algebraic_expressions_skill_02_evaluate_expressions_by_substitution,area_algebra_i_cluster_algebraic_expressions,3,atomic_skill,Algebra I,school_algebra,Evaluate expressions by substitution,2,
area_algebra_i_cluster_algebraic_expressions_skill_03_combine_like_terms,area_algebra_i_cluster_algebraic_expressions,3,atomic_skill,Algebra I,school_algebra,Combine like terms,3,
area_algebra_i_cluster_algebraic_expressions_skill_04_use_the_distributive_property,area_algebra_i_cluster_algebraic_expressions,3,atomic_skill,Algebra I,school_algebra,Use the distributive property,4,
area_algebra_i_cluster_algebraic_expressions_skill_05_factor_out_a_common_factor,area_algebra_i_cluster_algebraic_expressions,3,atomic_skill,Algebra I,school_algebra,Factor out a common factor,5,
area_algebra_i_cluster_algebraic_expressions_skill_06_create_equivalent_expressions,area_algebra_i_cluster_algebraic_expressions,3,atomic_skill,Algebra I,school_algebra,Create equivalent expressions,6,
area_algebra_i_cluster_linear_equations_and_inequalities,area_algebra_i,2,skill_cluster,Algebra I,school_algebra,Linear equations and inequalities,2,
area_algebra_i_cluster_linear_equations_and_inequalities_skill_01_solve_one_step_linear_equations,area_algebra_i_cluster_linear_equations_and_inequalities,3,atomic_skill,Algebra I,school_algebra,Solve one-step linear equations,1,
area_algebra_i_cluster_linear_equations_and_inequalities_skill_02_solve_two_step_linear_equations,area_algebra_i_cluster_linear_equations_and_inequalities,3,atomic_skill,Algebra I,school_algebra,Solve two-step linear equations,2,
area_algebra_i_cluster_linear_equations_and_inequalities_skill_03_solve_multi_step_linear_equations,area_algebra_i_cluster_linear_equations_and_inequalities,3,atomic_skill,Algebra I,school_algebra,Solve multi-step linear equations,3,
area_algebra_i_cluster_linear_equations_and_inequalities_skill_04_solve_equations_with_variables_on_both_sides,area_algebra_i_cluster_linear_equations_and_inequalities,3,atomic_skill,Algebra I,school_algebra,Solve equations with variables on both sides,4,
area_algebra_i_cluster_linear_equations_and_inequalities_skill_05_analyze_number_of_solutions_to_a_linear_equation,area_algebra_i_cluster_linear_equations_and_inequalities,3,atomic_skill,Algebra I,school_algebra,Analyze number of solutions to a linear equation,5,
area_algebra_i_cluster_linear_equations_and_inequalities_skill_06_solve_one_step_inequalities,area_algebra_i_cluster_linear_equations_and_inequalities,3,atomic_skill,Algebra I,school_algebra,Solve one-step inequalities,6,
area_algebra_i_cluster_linear_equations_and_inequalities_skill_07_solve_two_step_inequalities,area_algebra_i_cluster_linear_equations_and_inequalities,3,atomic_skill,Algebra I,school_algebra,Solve two-step inequalities,7,
area_algebra_i_cluster_linear_equations_and_inequalities_skill_08_graph_inequalities_on_a_number_line,area_algebra_i_cluster_linear_equations_and_inequalities,3,atomic_skill,Algebra I,school_algebra,Graph inequalities on a number line,8,
area_algebra_i_cluster_coordinate_plane_and_linear_functions,area_algebra_i,2,skill_cluster,Algebra I,school_algebra,Coordinate plane and linear functions,3,
area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_01_plot_points_on_the_coordinate_plane,area_algebra_i_cluster_coordinate_plane_and_linear_functions,3,atomic_skill,Algebra I,school_algebra,Plot points on the coordinate plane,1,
area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_02_identify_x_and_y_intercepts,area_algebra_i_cluster_coordinate_plane_and_linear_functions,3,atomic_skill,Algebra I,school_algebra,Identify x- and y-intercepts,2,
area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_03_compute_slope_from_two_points,area_algebra_i_cluster_coordinate_plane_and_linear_functions,3,atomic_skill,Algebra I,school_algebra,Compute slope from two points,3,
area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_04_interpret_slope_as_rate_of_change,area_algebra_i_cluster_coordinate_plane_and_linear_functions,3,atomic_skill,Algebra I,school_algebra,Interpret slope as rate of change,4,
area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_05_graph_a_line_from_slope_intercept_form,area_algebra_i_cluster_coordinate_plane_and_linear_functions,3,atomic_skill,Algebra I,school_algebra,Graph a line from slope-intercept form,5,
area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_06_write_slope_intercept_equation_from_graph,area_algebra_i_cluster_coordinate_plane_and_linear_functions,3,atomic_skill,Algebra I,school_algebra,Write slope-intercept equation from graph,6,
area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_07_write_line_equation_from_point_and_slope,area_algebra_i_cluster_coordinate_plane_and_linear_functions,3,atomic_skill,Algebra I,school_algebra,Write line equation from point and slope,7,
area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_08_convert_between_linear_equation_forms,area_algebra_i_cluster_coordinate_plane_and_linear_functions,3,atomic_skill,Algebra I,school_algebra,Convert between linear equation forms,8,
area_algebra_i_cluster_systems_of_linear_equations,area_algebra_i,2,skill_cluster,Algebra I,school_algebra,Systems of linear equations,4,
area_algebra_i_cluster_systems_of_linear_equations_skill_01_check_a_solution_to_a_system,area_algebra_i_cluster_systems_of_linear_equations,3,atomic_skill,Algebra I,school_algebra,Check a solution to a system,1,
area_algebra_i_cluster_systems_of_linear_equations_skill_02_solve_systems_by_graphing,area_algebra_i_cluster_systems_of_linear_equations,3,atomic_skill,Algebra I,school_algebra,Solve systems by graphing,2,
area_algebra_i_cluster_systems_of_linear_equations_skill_03_solve_systems_by_substitution,area_algebra_i_cluster_systems_of_linear_equations,3,atomic_skill,Algebra I,school_algebra,Solve systems by substitution,3,
area_algebra_i_cluster_systems_of_linear_equations_skill_04_solve_systems_by_elimination,area_algebra_i_cluster_systems_of_linear_equations,3,atomic_skill,Algebra I,school_algebra,Solve systems by elimination,4,
area_algebra_i_cluster_systems_of_linear_equations_skill_05_classify_systems_by_number_of_solutions,area_algebra_i_cluster_systems_of_linear_equations,3,atomic_skill,Algebra I,school_algebra,Classify systems by number of solutions,5,
area_algebra_i_cluster_systems_of_linear_equations_skill_06_model_word_problems_with_systems,area_algebra_i_cluster_systems_of_linear_equations,3,atomic_skill,Algebra I,school_algebra,Model word problems with systems,6,
area_algebra_i_cluster_polynomials_and_factoring,area_algebra_i,2,skill_cluster,Algebra I,school_algebra,Polynomials and factoring,5,
area_algebra_i_cluster_polynomials_and_factoring_skill_01_add_and_subtract_polynomials,area_algebra_i_cluster_polynomials_and_factoring,3,atomic_skill,Algebra I,school_algebra,Add and subtract polynomials,1,
area_algebra_i_cluster_polynomials_and_factoring_skill_02_multiply_monomials,area_algebra_i_cluster_polynomials_and_factoring,3,atomic_skill,Algebra I,school_algebra,Multiply monomials,2,
area_algebra_i_cluster_polynomials_and_factoring_skill_03_multiply_binomials,area_algebra_i_cluster_polynomials_and_factoring,3,atomic_skill,Algebra I,school_algebra,Multiply binomials,3,
area_algebra_i_cluster_polynomials_and_factoring_skill_04_factor_greatest_common_factor,area_algebra_i_cluster_polynomials_and_factoring,3,atomic_skill,Algebra I,school_algebra,Factor greatest common factor,4,
area_algebra_i_cluster_polynomials_and_factoring_skill_05_factor_trinomials,area_algebra_i_cluster_polynomials_and_factoring,3,atomic_skill,Algebra I,school_algebra,Factor trinomials,5,
area_algebra_i_cluster_polynomials_and_factoring_skill_06_factor_difference_of_squares,area_algebra_i_cluster_polynomials_and_factoring,3,atomic_skill,Algebra I,school_algebra,Factor difference of squares,6,
area_algebra_i_cluster_polynomials_and_factoring_skill_07_use_polynomial_identities,area_algebra_i_cluster_polynomials_and_factoring,3,atomic_skill,Algebra I,school_algebra,Use polynomial identities,7,
area_algebra_i_cluster_quadratic_equations_and_functions,area_algebra_i,2,skill_cluster,Algebra I,school_algebra,Quadratic equations and functions,6,
area_algebra_i_cluster_quadratic_equations_and_functions_skill_01_graph_quadratic_functions,area_algebra_i_cluster_quadratic_equations_and_functions,3,atomic_skill,Algebra I,school_algebra,Graph quadratic functions,1,
area_algebra_i_cluster_quadratic_equations_and_functions_skill_02_find_vertex_of_a_parabola,area_algebra_i_cluster_quadratic_equations_and_functions,3,atomic_skill,Algebra I,school_algebra,Find vertex of a parabola,2,
area_algebra_i_cluster_quadratic_equations_and_functions_skill_03_solve_quadratics_by_factoring,area_algebra_i_cluster_quadratic_equations_and_functions,3,atomic_skill,Algebra I,school_algebra,Solve quadratics by factoring,3,
area_algebra_i_cluster_quadratic_equations_and_functions_skill_04_solve_quadratics_by_square_roots,area_algebra_i_cluster_quadratic_equations_and_functions,3,atomic_skill,Algebra I,school_algebra,Solve quadratics by square roots,4,
area_algebra_i_cluster_quadratic_equations_and_functions_skill_05_complete_the_square,area_algebra_i_cluster_quadratic_equations_and_functions,3,atomic_skill,Algebra I,school_algebra,Complete the square,5,
area_algebra_i_cluster_quadratic_equations_and_functions_skill_06_use_the_quadratic_formula,area_algebra_i_cluster_quadratic_equations_and_functions,3,atomic_skill,Algebra I,school_algebra,Use the quadratic formula,6,
area_algebra_i_cluster_quadratic_equations_and_functions_skill_07_interpret_discriminant,area_algebra_i_cluster_quadratic_equations_and_functions,3,atomic_skill,Algebra I,school_algebra,Interpret discriminant,7,
area_algebra_i_cluster_quadratic_equations_and_functions_skill_08_model_problems_with_quadratics,area_algebra_i_cluster_quadratic_equations_and_functions,3,atomic_skill,Algebra I,school_algebra,Model problems with quadratics,8,
area_algebra_ii_and_functions,math_from_algebra_to_university,1,area,Algebra II and Functions,school_algebra,Algebra II and Functions,3,
area_algebra_ii_and_functions_cluster_function_language,area_algebra_ii_and_functions,2,skill_cluster,Algebra II and Functions,school_algebra,Function language,1,
area_algebra_ii_and_functions_cluster_function_language_skill_01_use_function_notation,area_algebra_ii_and_functions_cluster_function_language,3,atomic_skill,Algebra II and Functions,school_algebra,Use function notation,1,
area_algebra_ii_and_functions_cluster_function_language_skill_02_evaluate_functions_from_formulas,area_algebra_ii_and_functions_cluster_function_language,3,atomic_skill,Algebra II and Functions,school_algebra,Evaluate functions from formulas,2,
area_algebra_ii_and_functions_cluster_function_language_skill_03_evaluate_functions_from_graphs,area_algebra_ii_and_functions_cluster_function_language,3,atomic_skill,Algebra II and Functions,school_algebra,Evaluate functions from graphs,3,
area_algebra_ii_and_functions_cluster_function_language_skill_04_find_domain_from_a_formula,area_algebra_ii_and_functions_cluster_function_language,3,atomic_skill,Algebra II and Functions,school_algebra,Find domain from a formula,4,
area_algebra_ii_and_functions_cluster_function_language_skill_05_find_range_from_a_graph,area_algebra_ii_and_functions_cluster_function_language,3,atomic_skill,Algebra II and Functions,school_algebra,Find range from a graph,5,
area_algebra_ii_and_functions_cluster_function_language_skill_06_identify_increasing_and_decreasing_intervals,area_algebra_ii_and_functions_cluster_function_language,3,atomic_skill,Algebra II and Functions,school_algebra,Identify increasing and decreasing intervals,6,
area_algebra_ii_and_functions_cluster_function_language_skill_07_find_maxima_and_minima_from_a_graph,area_algebra_ii_and_functions_cluster_function_language,3,atomic_skill,Algebra II and Functions,school_algebra,Find maxima and minima from a graph,7,
area_algebra_ii_and_functions_cluster_function_language_skill_08_compose_functions,area_algebra_ii_and_functions_cluster_function_language,3,atomic_skill,Algebra II and Functions,school_algebra,Compose functions,8,
area_algebra_ii_and_functions_cluster_function_language_skill_09_find_inverse_functions,area_algebra_ii_and_functions_cluster_function_language,3,atomic_skill,Algebra II and Functions,school_algebra,Find inverse functions,9,
area_algebra_ii_and_functions_cluster_transformations_of_functions,area_algebra_ii_and_functions,2,skill_cluster,Algebra II and Functions,school_algebra,Transformations of functions,2,
area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_01_apply_vertical_shifts,area_algebra_ii_and_functions_cluster_transformations_of_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Apply vertical shifts,1,
area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_02_apply_horizontal_shifts,area_algebra_ii_and_functions_cluster_transformations_of_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Apply horizontal shifts,2,
area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_03_apply_reflections,area_algebra_ii_and_functions_cluster_transformations_of_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Apply reflections,3,
area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_04_apply_vertical_stretches_and_compressions,area_algebra_ii_and_functions_cluster_transformations_of_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Apply vertical stretches and compressions,4,
area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_05_transform_parent_functions,area_algebra_ii_and_functions_cluster_transformations_of_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Transform parent functions,5,
area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_06_compare_transformed_functions,area_algebra_ii_and_functions_cluster_transformations_of_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Compare transformed functions,6,
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,area_algebra_ii_and_functions,2,skill_cluster,Algebra II and Functions,school_algebra,Rational expressions and equations,3,
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_01_simplify_rational_expressions,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,3,atomic_skill,Algebra II and Functions,school_algebra,Simplify rational expressions,1,
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_02_multiply_and_divide_rational_expressions,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,3,atomic_skill,Algebra II and Functions,school_algebra,Multiply and divide rational expressions,2,
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_03_add_and_subtract_rational_expressions,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,3,atomic_skill,Algebra II and Functions,school_algebra,Add and subtract rational expressions,3,
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_04_find_excluded_values,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,3,atomic_skill,Algebra II and Functions,school_algebra,Find excluded values,4,
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_05_solve_rational_equations,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,3,atomic_skill,Algebra II and Functions,school_algebra,Solve rational equations,5,
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_06_model_inverse_variation,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,3,atomic_skill,Algebra II and Functions,school_algebra,Model inverse variation,6,
area_algebra_ii_and_functions_cluster_radical_and_power_functions,area_algebra_ii_and_functions,2,skill_cluster,Algebra II and Functions,school_algebra,Radical and power functions,4,
area_algebra_ii_and_functions_cluster_radical_and_power_functions_skill_01_simplify_radical_expressions,area_algebra_ii_and_functions_cluster_radical_and_power_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Simplify radical expressions,1,
area_algebra_ii_and_functions_cluster_radical_and_power_functions_skill_02_solve_radical_equations,area_algebra_ii_and_functions_cluster_radical_and_power_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Solve radical equations,2,
area_algebra_ii_and_functions_cluster_radical_and_power_functions_skill_03_use_rational_exponents,area_algebra_ii_and_functions_cluster_radical_and_power_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Use rational exponents,3,
area_algebra_ii_and_functions_cluster_radical_and_power_functions_skill_04_graph_square_root_functions,area_algebra_ii_and_functions_cluster_radical_and_power_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Graph square-root functions,4,
area_algebra_ii_and_functions_cluster_radical_and_power_functions_skill_05_graph_cube_root_functions,area_algebra_ii_and_functions_cluster_radical_and_power_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Graph cube-root functions,5,
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,area_algebra_ii_and_functions,2,skill_cluster,Algebra II and Functions,school_algebra,Exponential and logarithmic functions,5,
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_01_evaluate_exponential_functions,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Evaluate exponential functions,1,
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_02_graph_exponential_growth,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Graph exponential growth,2,
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_03_graph_exponential_decay,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Graph exponential decay,3,
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_04_use_logarithm_definition,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Use logarithm definition,4,
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_05_apply_logarithm_rules,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Apply logarithm rules,5,
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_06_solve_exponential_equations,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Solve exponential equations,6,
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_07_solve_logarithmic_equations,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Solve logarithmic equations,7,
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_08_model_exponential_growth_and_decay,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,3,atomic_skill,Algebra II and Functions,school_algebra,Model exponential growth and decay,8,
area_algebra_ii_and_functions_cluster_sequences_and_series,area_algebra_ii_and_functions,2,skill_cluster,Algebra II and Functions,school_algebra,Sequences and series,6,
area_algebra_ii_and_functions_cluster_sequences_and_series_skill_01_generate_arithmetic_sequences,area_algebra_ii_and_functions_cluster_sequences_and_series,3,atomic_skill,Algebra II and Functions,school_algebra,Generate arithmetic sequences,1,
area_algebra_ii_and_functions_cluster_sequences_and_series_skill_02_use_arithmetic_sequence_formula,area_algebra_ii_and_functions_cluster_sequences_and_series,3,atomic_skill,Algebra II and Functions,school_algebra,Use arithmetic sequence formula,2,
area_algebra_ii_and_functions_cluster_sequences_and_series_skill_03_generate_geometric_sequences,area_algebra_ii_and_functions_cluster_sequences_and_series,3,atomic_skill,Algebra II and Functions,school_algebra,Generate geometric sequences,3,
area_algebra_ii_and_functions_cluster_sequences_and_series_skill_04_use_geometric_sequence_formula,area_algebra_ii_and_functions_cluster_sequences_and_series,3,atomic_skill,Algebra II and Functions,school_algebra,Use geometric sequence formula,4,
area_algebra_ii_and_functions_cluster_sequences_and_series_skill_05_sum_finite_arithmetic_series,area_algebra_ii_and_functions_cluster_sequences_and_series,3,atomic_skill,Algebra II and Functions,school_algebra,Sum finite arithmetic series,5,
area_algebra_ii_and_functions_cluster_sequences_and_series_skill_06_sum_finite_geometric_series,area_algebra_ii_and_functions_cluster_sequences_and_series,3,atomic_skill,Algebra II and Functions,school_algebra,Sum finite geometric series,6,
area_algebra_ii_and_functions_cluster_sequences_and_series_skill_07_use_sigma_notation,area_algebra_ii_and_functions_cluster_sequences_and_series,3,atomic_skill,Algebra II and Functions,school_algebra,Use sigma notation,7,
area_algebra_ii_and_functions_cluster_complex_numbers,area_algebra_ii_and_functions,2,skill_cluster,Algebra II and Functions,school_algebra,Complex numbers,7,
area_algebra_ii_and_functions_cluster_complex_numbers_skill_01_add_and_subtract_complex_numbers,area_algebra_ii_and_functions_cluster_complex_numbers,3,atomic_skill,Algebra II and Functions,school_algebra,Add and subtract complex numbers,1,
area_algebra_ii_and_functions_cluster_complex_numbers_skill_02_multiply_complex_numbers,area_algebra_ii_and_functions_cluster_complex_numbers,3,atomic_skill,Algebra II and Functions,school_algebra,Multiply complex numbers,2,
area_algebra_ii_and_functions_cluster_complex_numbers_skill_03_divide_complex_numbers,area_algebra_ii_and_functions_cluster_complex_numbers,3,atomic_skill,Algebra II and Functions,school_algebra,Divide complex numbers,3,
area_algebra_ii_and_functions_cluster_complex_numbers_skill_04_use_complex_conjugates,area_algebra_ii_and_functions_cluster_complex_numbers,3,atomic_skill,Algebra II and Functions,school_algebra,Use complex conjugates,4,
