source_id,target_id,relation,weight
area_foundations_for_algebra,area_foundations_for_algebra_cluster_exponents_and_radicals,contains,1.0
area_foundations_for_algebra_cluster_exponents_and_radicals,area_foundations_for_algebra_cluster_exponents_and_radicals_skill_01_evaluate_powers,contains,1.0
area_foundations_for_algebra_cluster_exponents_and_radicals,area_foundations_for_algebra_cluster_exponents_and_radicals_skill_02_use_exponent_rules_for_products,contains,1.0
area_foundations_for_algebra_cluster_exponents_and_radicals,area_foundations_for_algebra_cluster_exponents_and_radicals_skill_03_use_exponent_rules_for_quotients,contains,1.0
area_foundations_for_algebra_cluster_exponents_and_radicals,area_foundations_for_algebra_cluster_exponents_and_radicals_skill_04_use_powers_of_powers,contains,1.0
area_foundations_for_algebra_cluster_exponents_and_radicals,area_foundations_for_algebra_cluster_exponents_and_radicals_skill_05_use_zero_and_negative_exponents,contains,1.0
area_foundations_for_algebra_cluster_exponents_and_radicals,area_foundations_for_algebra_cluster_exponents_and_radicals_skill_06_simplify_square_roots,contains,1.0
area_foundations_for_algebra_cluster_exponents_and_radicals,area_foundations_for_algebra_cluster_exponents_and_radicals_skill_07_approximate_irrational_numbers,contains,1.0
math_from_algebra_to_university,area_algebra_i,contains,1.0
area_algebra_i,area_algebra_i_cluster_algebraic_expressions,contains,1.0
area_algebra_i_cluster_algebraic_expressions,area_algebra_i_cluster_algebraic_expressions_skill_01_identify_variables_constants_terms_and_coefficients,contains,1.0
area_algebra_i_cluster_algebraic_expressions,area_algebra_i_cluster_algebraic_expressions_skill_02_evaluate_expressions_by_substitution,contains,1.0
area_algebra_i_cluster_algebraic_expressions,area_algebra_i_cluster_algebraic_expressions_skill_03_combine_like_terms,contains,1.0
area_algebra_i_cluster_algebraic_expressions,area_algebra_i_cluster_algebraic_expressions_skill_04_use_the_distributive_property,contains,1.0
area_algebra_i_cluster_algebraic_expressions,area_algebra_i_cluster_algebraic_expressions_skill_05_factor_out_a_common_factor,contains,1.0
area_algebra_i_cluster_algebraic_expressions,area_algebra_i_cluster_algebraic_expressions_skill_06_create_equivalent_expressions,contains,1.0
area_algebra_i,area_algebra_i_cluster_linear_equations_and_inequalities,contains,1.0
area_algebra_i_cluster_linear_equations_and_inequalities,area_algebra_i_cluster_linear_equations_and_inequalities_skill_01_solve_one_step_linear_equations,contains,1.0
area_algebra_i_cluster_linear_equations_and_inequalities,area_algebra_i_cluster_linear_equations_and_inequalities_skill_02_solve_two_step_linear_equations,contains,1.0
area_algebra_i_cluster_linear_equations_and_inequalities,area_algebra_i_cluster_linear_equations_and_inequalities_skill_03_solve_multi_step_linear_equations,contains,1.0
area_algebra_i_cluster_linear_equations_and_inequalities,area_algebra_i_cluster_linear_equations_and_inequalities_skill_04_solve_equations_with_variables_on_both_sides,contains,1.0
area_algebra_i_cluster_linear_equations_and_inequalities,area_algebra_i_cluster_linear_equations_and_inequalities_skill_05_analyze_number_of_solutions_to_a_linear_equation,contains,1.0
area_algebra_i_cluster_linear_equations_and_inequalities,area_algebra_i_cluster_linear_equations_and_inequalities_skill_06_solve_one_step_inequalities,contains,1.0
area_algebra_i_cluster_linear_equations_and_inequalities,area_algebra_i_cluster_linear_equations_and_inequalities_skill_07_solve_two_step_inequalities,contains,1.0
area_algebra_i_cluster_linear_equations_and_inequalities,area_algebra_i_cluster_linear_equations_and_inequalities_skill_08_graph_inequalities_on_a_number_line,contains,1.0
area_algebra_i,area_algebra_i_cluster_coordinate_plane_and_linear_functions,contains,1.0
area_algebra_i_cluster_coordinate_plane_and_linear_functions,area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_01_plot_points_on_the_coordinate_plane,contains,1.0
area_algebra_i_cluster_coordinate_plane_and_linear_functions,area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_02_identify_x_and_y_intercepts,contains,1.0
area_algebra_i_cluster_coordinate_plane_and_linear_functions,area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_03_compute_slope_from_two_points,contains,1.0
area_algebra_i_cluster_coordinate_plane_and_linear_functions,area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_04_interpret_slope_as_rate_of_change,contains,1.0
area_algebra_i_cluster_coordinate_plane_and_linear_functions,area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_05_graph_a_line_from_slope_intercept_form,contains,1.0
area_algebra_i_cluster_coordinate_plane_and_linear_functions,area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_06_write_slope_intercept_equation_from_graph,contains,1.0
area_algebra_i_cluster_coordinate_plane_and_linear_functions,area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_07_write_line_equation_from_point_and_slope,contains,1.0
area_algebra_i_cluster_coordinate_plane_and_linear_functions,area_algebra_i_cluster_coordinate_plane_and_linear_functions_skill_08_convert_between_linear_equation_forms,contains,1.0
area_algebra_i,area_algebra_i_cluster_systems_of_linear_equations,contains,1.0
area_algebra_i_cluster_systems_of_linear_equations,area_algebra_i_cluster_systems_of_linear_equations_skill_01_check_a_solution_to_a_system,contains,1.0
area_algebra_i_cluster_systems_of_linear_equations,area_algebra_i_cluster_systems_of_linear_equations_skill_02_solve_systems_by_graphing,contains,1.0
area_algebra_i_cluster_systems_of_linear_equations,area_algebra_i_cluster_systems_of_linear_equations_skill_03_solve_systems_by_substitution,contains,1.0
area_algebra_i_cluster_systems_of_linear_equations,area_algebra_i_cluster_systems_of_linear_equations_skill_04_solve_systems_by_elimination,contains,1.0
area_algebra_i_cluster_systems_of_linear_equations,area_algebra_i_cluster_systems_of_linear_equations_skill_05_classify_systems_by_number_of_solutions,contains,1.0
area_algebra_i_cluster_systems_of_linear_equations,area_algebra_i_cluster_systems_of_linear_equations_skill_06_model_word_problems_with_systems,contains,1.0
area_algebra_i,area_algebra_i_cluster_polynomials_and_factoring,contains,1.0
area_algebra_i_cluster_polynomials_and_factoring,area_algebra_i_cluster_polynomials_and_factoring_skill_01_add_and_subtract_polynomials,contains,1.0
area_algebra_i_cluster_polynomials_and_factoring,area_algebra_i_cluster_polynomials_and_factoring_skill_02_multiply_monomials,contains,1.0
area_algebra_i_cluster_polynomials_and_factoring,area_algebra_i_cluster_polynomials_and_factoring_skill_03_multiply_binomials,contains,1.0
area_algebra_i_cluster_polynomials_and_factoring,area_algebra_i_cluster_polynomials_and_factoring_skill_04_factor_greatest_common_factor,contains,1.0
area_algebra_i_cluster_polynomials_and_factoring,area_algebra_i_cluster_polynomials_and_factoring_skill_05_factor_trinomials,contains,1.0
area_algebra_i_cluster_polynomials_and_factoring,area_algebra_i_cluster_polynomials_and_factoring_skill_06_factor_difference_of_squares,contains,1.0
area_algebra_i_cluster_polynomials_and_factoring,area_algebra_i_cluster_polynomials_and_factoring_skill_07_use_polynomial_identities,contains,1.0
area_algebra_i,area_algebra_i_cluster_quadratic_equations_and_functions,contains,1.0
area_algebra_i_cluster_quadratic_equations_and_functions,area_algebra_i_cluster_quadratic_equations_and_functions_skill_01_graph_quadratic_functions,contains,1.0
area_algebra_i_cluster_quadratic_equations_and_functions,area_algebra_i_cluster_quadratic_equations_and_functions_skill_02_find_vertex_of_a_parabola,contains,1.0
area_algebra_i_cluster_quadratic_equations_and_functions,area_algebra_i_cluster_quadratic_equations_and_functions_skill_03_solve_quadratics_by_factoring,contains,1.0
area_algebra_i_cluster_quadratic_equations_and_functions,area_algebra_i_cluster_quadratic_equations_and_functions_skill_04_solve_quadratics_by_square_roots,contains,1.0
area_algebra_i_cluster_quadratic_equations_and_functions,area_algebra_i_cluster_quadratic_equations_and_functions_skill_05_complete_the_square,contains,1.0
area_algebra_i_cluster_quadratic_equations_and_functions,area_algebra_i_cluster_quadratic_equations_and_functions_skill_06_use_the_quadratic_formula,contains,1.0
area_algebra_i_cluster_quadratic_equations_and_functions,area_algebra_i_cluster_quadratic_equations_and_functions_skill_07_interpret_discriminant,contains,1.0
area_algebra_i_cluster_quadratic_equations_and_functions,area_algebra_i_cluster_quadratic_equations_and_functions_skill_08_model_problems_with_quadratics,contains,1.0
math_from_algebra_to_university,area_algebra_ii_and_functions,contains,1.0
area_algebra_ii_and_functions,area_algebra_ii_and_functions_cluster_function_language,contains,1.0
area_algebra_ii_and_functions_cluster_function_language,area_algebra_ii_and_functions_cluster_function_language_skill_01_use_function_notation,contains,1.0
area_algebra_ii_and_functions_cluster_function_language,area_algebra_ii_and_functions_cluster_function_language_skill_02_evaluate_functions_from_formulas,contains,1.0
area_algebra_ii_and_functions_cluster_function_language,area_algebra_ii_and_functions_cluster_function_language_skill_03_evaluate_functions_from_graphs,contains,1.0
area_algebra_ii_and_functions_cluster_function_language,area_algebra_ii_and_functions_cluster_function_language_skill_04_find_domain_from_a_formula,contains,1.0
area_algebra_ii_and_functions_cluster_function_language,area_algebra_ii_and_functions_cluster_function_language_skill_05_find_range_from_a_graph,contains,1.0
area_algebra_ii_and_functions_cluster_function_language,area_algebra_ii_and_functions_cluster_function_language_skill_06_identify_increasing_and_decreasing_intervals,contains,1.0
area_algebra_ii_and_functions_cluster_function_language,area_algebra_ii_and_functions_cluster_function_language_skill_07_find_maxima_and_minima_from_a_graph,contains,1.0
area_algebra_ii_and_functions_cluster_function_language,area_algebra_ii_and_functions_cluster_function_language_skill_08_compose_functions,contains,1.0
area_algebra_ii_and_functions_cluster_function_language,area_algebra_ii_and_functions_cluster_function_language_skill_09_find_inverse_functions,contains,1.0
area_algebra_ii_and_functions,area_algebra_ii_and_functions_cluster_transformations_of_functions,contains,1.0
area_algebra_ii_and_functions_cluster_transformations_of_functions,area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_01_apply_vertical_shifts,contains,1.0
area_algebra_ii_and_functions_cluster_transformations_of_functions,area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_02_apply_horizontal_shifts,contains,1.0
area_algebra_ii_and_functions_cluster_transformations_of_functions,area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_03_apply_reflections,contains,1.0
area_algebra_ii_and_functions_cluster_transformations_of_functions,area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_04_apply_vertical_stretches_and_compressions,contains,1.0
area_algebra_ii_and_functions_cluster_transformations_of_functions,area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_05_transform_parent_functions,contains,1.0
area_algebra_ii_and_functions_cluster_transformations_of_functions,area_algebra_ii_and_functions_cluster_transformations_of_functions_skill_06_compare_transformed_functions,contains,1.0
area_algebra_ii_and_functions,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,contains,1.0
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_01_simplify_rational_expressions,contains,1.0
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_02_multiply_and_divide_rational_expressions,contains,1.0
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_03_add_and_subtract_rational_expressions,contains,1.0
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_04_find_excluded_values,contains,1.0
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_05_solve_rational_equations,contains,1.0
area_algebra_ii_and_functions_cluster_rational_expressions_and_equations,area_algebra_ii_and_functions_cluster_rational_expressions_and_equations_skill_06_model_inverse_variation,contains,1.0
area_algebra_ii_and_functions,area_algebra_ii_and_functions_cluster_radical_and_power_functions,contains,1.0
area_algebra_ii_and_functions_cluster_radical_and_power_functions,area_algebra_ii_and_functions_cluster_radical_and_power_functions_skill_01_simplify_radical_expressions,contains,1.0
area_algebra_ii_and_functions_cluster_radical_and_power_functions,area_algebra_ii_and_functions_cluster_radical_and_power_functions_skill_02_solve_radical_equations,contains,1.0
area_algebra_ii_and_functions_cluster_radical_and_power_functions,area_algebra_ii_and_functions_cluster_radical_and_power_functions_skill_03_use_rational_exponents,contains,1.0
area_algebra_ii_and_functions_cluster_radical_and_power_functions,area_algebra_ii_and_functions_cluster_radical_and_power_functions_skill_04_graph_square_root_functions,contains,1.0
area_algebra_ii_and_functions_cluster_radical_and_power_functions,area_algebra_ii_and_functions_cluster_radical_and_power_functions_skill_05_graph_cube_root_functions,contains,1.0
area_algebra_ii_and_functions,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,contains,1.0
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_01_evaluate_exponential_functions,contains,1.0
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_02_graph_exponential_growth,contains,1.0
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_03_graph_exponential_decay,contains,1.0
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_04_use_logarithm_definition,contains,1.0
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_05_apply_logarithm_rules,contains,1.0
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_06_solve_exponential_equations,contains,1.0
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_07_solve_logarithmic_equations,contains,1.0
area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions,area_algebra_ii_and_functions_cluster_exponential_and_logarithmic_functions_skill_08_model_exponential_growth_and_decay,contains,1.0
area_algebra_ii_and_functions,area_algebra_ii_and_functions_cluster_sequences_and_series,contains,1.0
area_algebra_ii_and_functions_cluster_sequences_and_series,area_algebra_ii_and_functions_cluster_sequences_and_series_skill_01_generate_arithmetic_sequences,contains,1.0
area_algebra_ii_and_functions_cluster_sequences_and_series,area_algebra_ii_and_functions_cluster_sequences_and_series_skill_02_use_arithmetic_sequence_formula,contains,1.0
area_algebra_ii_and_functions_cluster_sequences_and_series,area_algebra_ii_and_functions_cluster_sequences_and_series_skill_03_generate_geometric_sequences,contains,1.0
area_algebra_ii_and_functions_cluster_sequences_and_series,area_algebra_ii_and_functions_cluster_sequences_and_series_skill_04_use_geometric_sequence_formula,contains,1.0
area_algebra_ii_and_functions_cluster_sequences_and_series,area_algebra_ii_and_functions_cluster_sequences_and_series_skill_05_sum_finite_arithmetic_series,contains,1.0
area_algebra_ii_and_functions_cluster_sequences_and_series,area_algebra_ii_and_functions_cluster_sequences_and_series_skill_06_sum_finite_geometric_series,contains,1.0
area_algebra_ii_and_functions_cluster_sequences_and_series,area_algebra_ii_and_functions_cluster_sequences_and_series_skill_07_use_sigma_notation,contains,1.0
area_algebra_ii_and_functions,area_algebra_ii_and_functions_cluster_complex_numbers,contains,1.0
area_algebra_ii_and_functions_cluster_complex_numbers,area_algebra_ii_and_functions_cluster_complex_numbers_skill_01_add_and_subtract_complex_numbers,contains,1.0
area_algebra_ii_and_functions_cluster_complex_numbers,area_algebra_ii_and_functions_cluster_complex_numbers_skill_02_multiply_complex_numbers,contains,1.0
area_algebra_ii_and_functions_cluster_complex_numbers,area_algebra_ii_and_functions_cluster_complex_numbers_skill_03_divide_complex_numbers,contains,1.0
area_algebra_ii_and_functions_cluster_complex_numbers,area_algebra_ii_and_functions_cluster_complex_numbers_skill_04_use_complex_conjugates,contains,1.0
area_algebra_ii_and_functions_cluster_complex_numbers,area_algebra_ii_and_functions_cluster_complex_numbers_skill_05_solve_quadratics_with_complex_roots,contains,1.0
area_algebra_ii_and_functions_cluster_complex_numbers,area_algebra_ii_and_functions_cluster_complex_numbers_skill_06_represent_complex_numbers_in_the_plane,contains,1.0
math_from_algebra_to_university,area_precalculus,contains,1.0
area_precalculus,area_precalculus_cluster_advanced_function_analysis,contains,1.0
area_precalculus_cluster_advanced_function_analysis,area_precalculus_cluster_advanced_function_analysis_skill_01_analyze_polynomial_end_behavior,contains,1.0
area_precalculus_cluster_advanced_function_analysis,area_precalculus_cluster_advanced_function_analysis_skill_02_find_polynomial_zeros,contains,1.0
area_precalculus_cluster_advanced_function_analysis,area_precalculus_cluster_advanced_function_analysis_skill_03_use_factor_theorem,contains,1.0
area_precalculus_cluster_advanced_function_analysis,area_precalculus_cluster_advanced_function_analysis_skill_04_use_remainder_theorem,contains,1.0
area_precalculus_cluster_advanced_function_analysis,area_precalculus_cluster_advanced_function_analysis_skill_05_sketch_rational_functions,contains,1.0
area_precalculus_cluster_advanced_function_analysis,area_precalculus_cluster_advanced_function_analysis_skill_06_find_asymptotes_of_rational_functions,contains,1.0
area_precalculus_cluster_advanced_function_analysis,area_precalculus_cluster_advanced_function_analysis_skill_07_analyze_piecewise_functions,contains,1.0
area_precalculus,area_precalculus_cluster_trigonometric_algebra,contains,1.0
area_precalculus_cluster_trigonometric_algebra,area_precalculus_cluster_trigonometric_algebra_skill_01_use_radians_and_degrees,contains,1.0
area_precalculus_cluster_trigonometric_algebra,area_precalculus_cluster_trigonometric_algebra_skill_02_evaluate_unit_circle_values,contains,1.0
area_precalculus_cluster_trigonometric_algebra,area_precalculus_cluster_trigonometric_algebra_skill_03_graph_sine_and_cosine,contains,1.0
area_precalculus_cluster_trigonometric_algebra,area_precalculus_cluster_trigonometric_algebra_skill_04_graph_tangent,contains,1.0
area_precalculus_cluster_trigonometric_algebra,area_precalculus_cluster_trigonometric_algebra_skill_05_use_reciprocal_trigonometric_functions,contains,1.0
area_precalculus_cluster_trigonometric_algebra,area_precalculus_cluster_trigonometric_algebra_skill_06_use_pythagorean_trigonometric_identities,contains,1.0
area_precalculus_cluster_trigonometric_algebra,area_precalculus_cluster_trigonometric_algebra_skill_07_use_angle_sum_identities,contains,1.0
area_precalculus_cluster_trigonometric_algebra,area_precalculus_cluster_trigonometric_algebra_skill_08_solve_basic_trigonometric_equations,contains,1.0
area_precalculus,area_precalculus_cluster_vectors_and_parametric_equations,contains,1.0
area_precalculus_cluster_vectors_and_parametric_equations,area_precalculus_cluster_vectors_and_parametric_equations_skill_01_represent_vectors_in_component_form,contains,1.0
area_precalculus_cluster_vectors_and_parametric_equations,area_precalculus_cluster_vectors_and_parametric_equations_skill_02_add_and_subtract_vectors,contains,1.0
area_precalculus_cluster_vectors_and_parametric_equations,area_precalculus_cluster_vectors_and_parametric_equations_skill_03_scale_vectors,contains,1.0
area_precalculus_cluster_vectors_and_parametric_equations,area_precalculus_cluster_vectors_and_parametric_equations_skill_04_compute_dot_products,contains,1.0
area_precalculus_cluster_vectors_and_parametric_equations,area_precalculus_cluster_vectors_and_parametric_equations_skill_05_write_parametric_equations,contains,1.0
area_precalculus_cluster_vectors_and_parametric_equations,area_precalculus_cluster_vectors_and_parametric_equations_skill_06_eliminate_a_parameter,contains,1.0
area_precalculus,area_precalculus_cluster_polar_and_complex_form,contains,1.0
area_precalculus_cluster_polar_and_complex_form,area_precalculus_cluster_polar_and_complex_form_skill_01_convert_between_polar_and_rectangular_coordinates,contains,1.0
area_precalculus_cluster_polar_and_complex_form,area_precalculus_cluster_polar_and_complex_form_skill_02_graph_polar_equations,contains,1.0
area_precalculus_cluster_polar_and_complex_form,area_precalculus_cluster_polar_and_complex_form_skill_03_use_complex_polar_form,contains,1.0
area_precalculus_cluster_polar_and_complex_form,area_precalculus_cluster_polar_and_complex_form_skill_04_apply_de_moivre_s_theorem,contains,1.0
math_from_algebra_to_university,area_proof_and_mathematical_language,contains,1.0
area_proof_and_mathematical_language,area_proof_and_mathematical_language_cluster_logic_and_sets,contains,1.0
area_proof_and_mathematical_language_cluster_logic_and_sets,area_proof_and_mathematical_language_cluster_logic_and_sets_skill_01_use_logical_connectives,contains,1.0
area_proof_and_mathematical_language_cluster_logic_and_sets,area_proof_and_mathematical_language_cluster_logic_and_sets_skill_02_negate_quantified_statements,contains,1.0
area_proof_and_mathematical_language_cluster_logic_and_sets,area_proof_and_mathematical_language_cluster_logic_and_sets_skill_03_work_with_sets_and_subsets,contains,1.0
area_proof_and_mathematical_language_cluster_logic_and_sets,area_proof_and_mathematical_language_cluster_logic_and_sets_skill_04_use_set_operations,contains,1.0
area_proof_and_mathematical_language_cluster_logic_and_sets,area_proof_and_mathematical_language_cluster_logic_and_sets_skill_05_use_functions_as_mappings,contains,1.0
area_proof_and_mathematical_language_cluster_logic_and_sets,area_proof_and_mathematical_language_cluster_logic_and_sets_skill_06_understand_equivalence_relations,contains,1.0
area_proof_and_mathematical_language,area_proof_and_mathematical_language_cluster_proof_techniques,contains,1.0
area_proof_and_mathematical_language_cluster_proof_techniques,area_proof_and_mathematical_language_cluster_proof_techniques_skill_01_write_direct_proofs,contains,1.0
area_proof_and_mathematical_language_cluster_proof_techniques,area_proof_and_mathematical_language_cluster_proof_techniques_skill_02_write_proof_by_contrapositive,contains,1.0
area_proof_and_mathematical_language_cluster_proof_techniques,area_proof_and_mathematical_language_cluster_proof_techniques_skill_03_write_proof_by_contradiction,contains,1.0
area_proof_and_mathematical_language_cluster_proof_techniques,area_proof_and_mathematical_language_cluster_proof_techniques_skill_04_use_mathematical_induction,contains,1.0
area_proof_and_mathematical_language_cluster_proof_techniques,area_proof_and_mathematical_language_cluster_proof_techniques_skill_05_prove_statements_about_divisibility,contains,1.0
area_proof_and_mathematical_language_cluster_proof_techniques,area_proof_and_mathematical_language_cluster_proof_techniques_skill_06_prove_statements_about_inequalities,contains,1.0
math_from_algebra_to_university,area_discrete_mathematics,contains,1.0
area_discrete_mathematics,area_discrete_mathematics_cluster_counting_and_combinatorics,contains,1.0
area_discrete_mathematics_cluster_counting_and_combinatorics,area_discrete_mathematics_cluster_counting_and_combinatorics_skill_01_use_addition_principle,contains,1.0
area_discrete_mathematics_cluster_counting_and_combinatorics,area_discrete_mathematics_cluster_counting_and_combinatorics_skill_02_use_multiplication_principle,contains,1.0
area_discrete_mathematics_cluster_counting_and_combinatorics,area_discrete_mathematics_cluster_counting_and_combinatorics_skill_03_count_permutations,contains,1.0
area_discrete_mathematics_cluster_counting_and_combinatorics,area_discrete_mathematics_cluster_counting_and_combinatorics_skill_04_count_combinations,contains,1.0
area_discrete_mathematics_cluster_counting_and_combinatorics,area_discrete_mathematics_cluster_counting_and_combinatorics_skill_05_use_binomial_coefficients,contains,1.0
area_discrete_mathematics_cluster_counting_and_combinatorics,area_discrete_mathematics_cluster_counting_and_combinatorics_skill_06_apply_inclusion_exclusion,contains,1.0
area_discrete_mathematics_cluster_counting_and_combinatorics,area_discrete_mathematics_cluster_counting_and_combinatorics_skill_07_solve_recurrence_relations,contains,1.0
area_discrete_mathematics,area_discrete_mathematics_cluster_graph_theory,contains,1.0
area_discrete_mathematics_cluster_graph_theory,area_discrete_mathematics_cluster_graph_theory_skill_01_represent_graphs_with_vertices_and_edges,contains,1.0
area_discrete_mathematics_cluster_graph_theory,area_discrete_mathematics_cluster_graph_theory_skill_02_use_adjacency_matrices,contains,1.0
area_discrete_mathematics_cluster_graph_theory,area_discrete_mathematics_cluster_graph_theory_skill_03_compute_degree_of_a_vertex,contains,1.0
area_discrete_mathematics_cluster_graph_theory,area_discrete_mathematics_cluster_graph_theory_skill_04_find_paths_and_cycles,contains,1.0
area_discrete_mathematics_cluster_graph_theory,area_discrete_mathematics_cluster_graph_theory_skill_05_analyze_connected_components,contains,1.0
area_discrete_mathematics_cluster_graph_theory,area_discrete_mathematics_cluster_graph_theory_skill_06_use_trees,contains,1.0
area_discrete_mathematics_cluster_graph_theory,area_discrete_mathematics_cluster_graph_theory_skill_07_use_graph_traversal,contains,1.0
